harga,merek,model,varian,tahun,jarak_tempuh,tipe_bahan_bakar,warna,transmisi
131000000,Honda,Brio,Satya E,2017,20.000-25.000 km,Bensin,Abu-abu,Automatic
34000000,Peugeot,405,2,1994,175.000-180.000 km,Bensin,Abu-abu,Manual
78500000,Datsun,Go+,Panca T,2014,40.000-45.000 km,Bensin,Putih,Manual
210000000,Volvo,XC90,2.5,2008,75.000-80.000 km,Bensin,Hitam,Automatic
1175000000,Mercedes-Benz,S-Class,S400 L,2014,35.000-40.000 km,Bensin,Hitam,Automatic Triptonic
1390000000,Mercedes-Benz,GLE-Class,Lain-lain,2015,25.000-30.000 km,Bensin,Hitam,Automatic
185000000,Mazda,2,R,2015,50.000-55.000 km,Bensin,Merah,Automatic
200000000,Isuzu,Elf Minibus,2.8 Minibus Diesel,2016,20.000-25.000 km,Diesel,Silver,Manual
37000000,Chery,New QQ,1.0 MT,2009,90.000-95.000 km,Bensin,Merah,Manual
44900000,Hyundai,Avega,GL,2007,150.000-155.000 km,Bensin,Hijau,Automatic
55000000,Isuzu,Panther,Lain-lain,1995,135.000-140.000 km,Diesel,Biru,Manual
55000000,Suzuki,Escudo,JLX,1994,5.000-10.000 km,Bensin,Hijau,Manual
29500000,Hyundai,Cakra,Lain-lain,1997,195.000-200.000 km,Bensin,Silver,Automatic
82000000,Nissan,Serena,HWS,2007,135.000-140.000 km,Bensin,Emas,Automatic
285000000,Audi,Audi Q5,2.0 TFSI,2011,55.000-60.000 km,Bensin,Abu-abu,Automatic Triptonic
134500000,Honda,Mobilio,E Prestige,2015,50.000-55.000 km,Bensin,Lainnya,Automatic
1095000000,Porsche,Cayenne,V6 3.6,2012,15.000-20.000 km,Bensin,Hitam,Automatic Triptonic
127000000,Wuling,Confero S,S 1.5L LUX,2017,25.000-30.000 km,Bensin,Merah,Manual
42000000,Suzuki,Escudo,JLX,1995,200.000-205.000 km,Bensin,Biru,Manual
86500000,Nissan,Grand livina,Lain-lain,2011,190.000-195.000 km,Bensin,Abu-abu,Automatic
90000000,Mitsubishi,Colt,Box 3.3,2010,20.000-25.000 km,Diesel,Hitam,Manual
99500000,Daihatsu,Luxio,X,2011,100.000-105.000 km,Bensin,Abu-abu,Manual
440000000,Mitsubishi,Pajero Sport,Dakar 2.4,2016,30.000-35.000 km,Diesel,Putih,Automatic Triptonic
385000000,BMW,Serie 5,520i,2013,50.000-55.000 km,Bensin,Putih,Automatic
100000000,Toyota,Agya,TRD Sportivo,2015,35.000-40.000 km,Bensin,Merah,Automatic
45000000,Hyundai,Verna,Lain-lain,2003,160.000-165.000 km,Bensin,Silver,Manual
135000000,Honda,Mobilio,S,2017,80.000-85.000 km,Bensin,Abu-abu,Manual
220000000,Mazda,CX-5,Grand Touring,2013,75.000-80.000 km,Bensin,Hitam,Automatic Triptonic
107000000,Toyota,Agya,G,2016,10.000-15.000 km,Bensin,Merah,Manual
92000000,Suzuki,Carry Pick-up,Lain-lain,2018,0-5.000 km,Bensin,Putih,Manual
65500000,KIA,Carens II,Lain-lain,2006,205.000-210.000 km,Bensin,Hitam,Automatic
119000000,Honda,Mobilio,E,2014,80.000-85.000 km,Bensin,Coklat,Automatic
120000000,Ford,Ecosport,Titanium,2014,45.000-50.000 km,Bensin,Coklat,Automatic
649000000,BMW,Serie 3,320i Luxury,2018,5.000-10.000 km,Bensin,Biru,Automatic
95000000,Honda,CR-V,2,2005,40.000-45.000 km,Bensin,Hitam,Manual
105000000,Honda,Brio,Satya E,2014,45.000-50.000 km,Bensin,Putih,Manual
88000000,Honda,CR-V,2.4,2004,100.000-105.000 km,Bensin,Abu-abu,Manual
25000000,Hyundai,Lain-lain,Lain-lain,1996,35.000-40.000 km,Bensin,Hitam,Manual
220000000,Honda,CR-V,2.4 Prestige,2012,45.000-50.000 km,Bensin,Putih,Automatic
57000000,KIA,Picanto,M/T,2004,140.000-145.000 km,Bensin,Silver,Manual
175000000,Jeep,CJ7,Lain-lain,<1986,150.000-155.000 km,Bensin,Kuning,Manual
126500000,Honda,Brio,Satya E,2017,40.000-45.000 km,Bensin,Abu-abu,Manual
165000000,Isuzu,Colt 77 PS,Lain-lain,2018,5.000-10.000 km,Diesel,Putih,Manual
225000000,Mazda,CX-5,Grand Touring,2013,90.000-95.000 km,Bensin,Silver,Automatic Triptonic
140000000,Mercedes-Benz,Lain-lain,Lain-lain,1989,90.000-95.000 km,Bensin,Silver,Automatic
65000000,Mercedes-Benz,A-Class,A140,2002,50.000-55.000 km,Bensin,Biru,Manual
1250000000,BMW,Serie 4,435i,2015,15.000-20.000 km,Bensin,Coklat,Automatic Triptonic
90000000,Daihatsu,Xenia,Li,2011,220.000-225.000 km,Bensin,Abu-abu,Manual
105000000,Daihatsu,Xenia,M 1.0 Sporty,2012,20.000-25.000 km,Bensin,Hitam,Manual
153000000,Daihatsu,Terios,Adventure R,2016,60.000-65.000 km,Bensin,Merah,Automatic
445000000,Mitsubishi,Pajero Sport,Dakar 2.4,2017,30.000-35.000 km,Diesel,Hitam,Automatic
125000000,Ford,Fiesta,Trend,2014,15.000-20.000 km,Bensin,Marun,Automatic
305000000,Mitsubishi,Pajero Sport,Dakar,2014,30.000-35.000 km,Diesel,Putih,Automatic
1400000000,Porsche,Boxster,S,2014,5.000-10.000 km,Bensin,Silver,Automatic Triptonic
415000000,Honda,CR-V,Lain-lain,2017,45.000-50.000 km,Bensin,Abu-abu,Automatic
125000000,Isuzu,Panther,Touring,2005,200.000-205.000 km,Diesel,Merah,Automatic
109000000,Ford,Fiesta,Sport,2011,145.000-150.000 km,Bensin,Putih,Automatic
56000000,KIA,Carens II,Lain-lain,2005,20.000-25.000 km,Bensin,Abu-abu,Manual
1900000000,Porsche,Boxster,S,2016,10.000-15.000 km,Bensin,Abu-abu,Automatic Triptonic
79000000,Toyota,Kijang,LGX,2002,95.000-100.000 km,Bensin,Hitam,Manual
1150000000,Jeep,Grand Cherokee,Limited,2015,0-5.000 km,Bensin,Hitam,Automatic
25000000,Toyota,Corolla,1.3,<1986,0-5.000 km,Bensin,Hijau,Manual
203000000,Toyota,Fortuner,G Luxury,2010,40.000-45.000 km,Bensin,Hitam,Automatic
65000000,Isuzu,Elf Minibus,Lain-lain,2001,190.000-195.000 km,Diesel,Putih,Manual
575000000,Land Rover,Range Rover Evoque,Dynamic Luxury Si4,2012,35.000-40.000 km,Bensin,Putih,Automatic Triptonic
3250000000,Bentley,Continental GT,Convertible,2012,20.000-25.000 km,Bensin,Putih,Automatic Triptonic
105000000,Ford,Fiesta,EcoBoost S,2012,60.000-65.000 km,Bensin,Putih,Automatic
90000000,Mazda,2,R,2010,95.000-100.000 km,Bensin,Putih,Automatic
79000000,Datsun,Go+,Panca T,2017,40.000-45.000 km,Bensin,Abu-abu,Manual
150000000,Holden,Lain-lain,Lain-lain,<1986,70.000-75.000 km,Bensin,Hijau,Automatic
395000000,Jeep,Grand Cherokee,Overland,2011,55.000-60.000 km,Bensin,Abu-abu,Automatic
29000000,Volvo,S90,3,2000,110.000-115.000 km,Bensin,Hitam,Automatic
45000000,Honda,Lain-lain,Lain-lain,1994,25.000-30.000 km,Bensin,Hijau,Automatic
63000000,KIA,Picanto,M/T,2008,225.000-230.000 km,Bensin,Merah,Manual
88000000,Mitsubishi,Mirage,GLX,2013,95.000-100.000 km,Bensin,Putih,Manual
895000000,Lexus,RX,200T AL20,2016,35.000-40.000 km,Bensin,Putih,Automatic Triptonic
130000000,Ford,Everest,LTD,2008,75.000-80.000 km,Diesel,Silver,Manual
108000000,Nissan,Grand livina,Lain-lain,2014,105.000-110.000 km,Bensin,Biru,Manual
122000000,Ford,Ecosport,Titanium,2014,90.000-95.000 km,Bensin,Silver,Automatic
73900000,Nissan,Grand livina,Lain-lain,2009,75.000-80.000 km,Bensin,Hitam,Automatic
79000000,Proton,Exora,CFE Prime,2014,60.000-65.000 km,Bensin,Putih,Automatic
115850000,Audi,Audi A8,Lain-lain,2004,80.000-85.000 km,Bensin,Hitam,Automatic
114500000,Mercedes-Benz,E-Class,E240,2003,100.000-105.000 km,Bensin,Silver,Automatic
102000000,Toyota,Agya,G,2016,55.000-60.000 km,Bensin,Merah,Manual
69000000,Mercedes-Benz,E-Class,E320,1996,120.000-125.000 km,Bensin,Biru,Automatic
78500000,Nissan,Grand livina,Lain-lain,2010,70.000-75.000 km,Bensin,Putih,Automatic
289000000,Mazda,CX-5,Touring,2015,35.000-40.000 km,Bensin,Putih,Automatic
235000000,BMW,X1,sDrive20d,2012,90.000-95.000 km,Diesel,Abu-abu,Automatic Triptonic
102000000,Chevrolet,Spin,LTZ,2014,115.000-120.000 km,Bensin,Abu-abu,Automatic
65500000,KIA,Picanto,SE,2011,80.000-85.000 km,Bensin,Hitam,Manual
135000000,Klasik dan Antik,Klasik dan Antik,Lain-lain,<1986,205.000-210.000 km,Bensin,Merah,Manual
285000000,Honda,Freed,E,2016,30.000-35.000 km,Bensin,Putih,Automatic
110000000,Suzuki,SX4,Lain-lain,2009,125.000-130.000 km,Bensin,Oranye,Automatic
65000000,Datsun,Go+,Panca T Opt,2014,30.000-35.000 km,Bensin,Abu-abu,Manual
105000000,Daihatsu,Gran max Pick-up,Lain-lain,2018,20.000-25.000 km,Bensin,Putih,Manual
88000000,Datsun,Go+,Panca T Ultimate,2017,5.000-10.000 km,Bensin,Abu-abu,Manual
215000000,BMW,X1,sDrive18i,2010,50.000-55.000 km,Bensin,Silver,Automatic
125000000,Ford,Ecosport,Titanium,2014,95.000-100.000 km,Bensin,Hitam,Automatic
27500000,Peugeot,406,2,1997,250.000-255.000 km,Bensin,Hijau,Automatic
135000000,Mercedes-Benz,C-Class,C240,2005,60.000-65.000 km,Bensin,Merah,Automatic Triptonic
480000000,Mercedes-Benz,GLA-Class,GLA200,2015,30.000-35.000 km,Bensin,Hitam,Automatic Triptonic
120000000,Daihatsu,Sigra,1.2 R,2018,20.000-25.000 km,Bensin,Silver,Automatic
151000000,Mitsubishi,Strada Triton,GLS,2012,80.000-85.000 km,Diesel,Putih,Manual
29000000,Daihatsu,Espass,Lain-lain,1996,130.000-135.000 km,Bensin,Marun,Manual
145000000,Ford,Ranger,XLT,2011,10.000-15.000 km,Bensin,Abu-abu,Manual
82000000,Suzuki,Splash,GL,2011,60.000-65.000 km,Bensin,Hitam,Manual
205000000,Mazda,2,R,2015,40.000-45.000 km,Bensin,Putih,Automatic
